url,source_feed,label
https://loop.in,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://jovoyparis.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://nl-club.ru,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://poloniusz.pl,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://yourpracticeonline.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://iotbing.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://vinfreecheck.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://regwialon.su,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://playacegame.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://mhorse.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://sptlabtech.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://banestesfidelidade.com.br,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://baps.it,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://adppayroll.com.au,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://lovehelp.net,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://ferma.expert,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://lysieparis.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://desteven.nl,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://conversionsapigateway.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://thegiveawayguys.co.uk,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://sitegiant.io,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://valleyhealth.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://medismart.net,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://apacorp.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://admitkard.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://inea.gob.ve,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://wt4.com.cn,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://appsapk.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://faronicsdeploy.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://sheepandwoolcentre.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://asg.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://russ-porno.net,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://gntdns.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://ja.org,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://localdns.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://mxregister.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://projectkongor.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://freescountry.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://redtempt.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://dfsamara.ru,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://gadget.ro,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://pramworld.co.uk,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://gendergp.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://elmetro.ru,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://lets6668.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://slotbangjagoalt18.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://konami.jp,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://afir.ro,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://wpcplay.ru,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://truewealth.cn,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://dollarsforscholars.org,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://thalhen.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://aspensquare.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://thoughtworks.net,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://kitkingcloud.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
https://momentumiot.com,https://tranco-list.eu/top-1m.csv.zip,legitimate
